Name:,SampleScene,
Flowchart(DataSample),FlowchartData Sample,,,Flowchart(SaySample),CommandSample,,,
FlowExecute,,,,Portrait,真白ノベル,Show,,
,,,,Say,真白ノベル,こんにちは！,,
,,,,Say,真白ノベル,これはSayコマンドのサンプルです！,,
,,,,Say,真白ノベル,<sp=0.5>テキストのスピードを変更したり</sp>,,
,,,,Say,真白ノベル,<color=red>色を赤くしてみたり</color>,,
,,,,Say,真白ノベル,こんな<r=ふう>風</r>にルビを<r=せってい>設定</r>することもできます！,,
,,,,SetIntFlag,,,,
,,,,Say,真白ノベル,"今のフラグの値は<b><flag0></b>です
<wi>と、このようにフラグ変数を文の中に埋め込むことができます",,
,,,,Say,真白ノベル,"1つのSayコマンドで、
<wic>何回も、
<wic>繰り返し表示することもできちゃう",,
,,,,Say,真白ノベル,"メッセージボックスをヒエラルキーに置いておけば、<w=0.3>
テキストを試しに表示することでサポートできますよ！",,
,,,,Portrait,河野修二,Show,,
,,,,MoveXPortrait,,,,
,,,,Portrait,真白ノベル,Change,,
,,,,Say,河野修二,"<size=200%>おい！！</size>
<wi>授業を抜け出して何やってんだァ！",,
,,,,MoveXPortrait,,,,
,,,,Say,真白ノベル,きゃーー！にげろーーーー！,,
,,,,MoveXPortrait,,,,
,,,,Say,河野修二,<size=150%>待て――ぃ！</size>,,
