Name:,SampleScene,
Flowchart(DataSample),FlowchartData Sample,,,Flowchart(SaySample),Command Sample,,,
FlowExecute,,,,Portrait,真白ノベル,Show,,
,,,,SayAdvanced,真白ノベル,こんにちは！,,
,,,,Say,真白ノベル,<s>これはSayコマンドのサンプルです！</s>,,
,,,,Say,真白ノベル,<s=0.3>テキストの</s>表示スピードを変更したり,,
,,,,Say,真白ノベル,<color=red>色を赤くしてみたり</color>,,
,,,,Say,真白ノベル,こんな<r=ふう>風</r>にルビを<r=せってい>設定</r>することもできます！,,
,,,,SetIntFlag,,,,
,,,,SayAdvanced,真白ノベル,"今のフラグの値は<b><flag0></b>です
<wi>と、このようにフラグ変数を文の中に埋め込むことができます",,
,,,,Say,真白ノベル,"1つのSayコマンドで、
<wic>何回も、
<wic>繰り返し表示することもできちゃう",,
,,,,Say,真白ノベル,"メッセージボックスをヒエラルキーに置いておけば、<w=0.3>
テキストを試しに表示することもできますよ！",,
